UID,date,count,lat,lon,cumsum,gf
84025025,2020-01-22,0,42.327951399999996,-71.07850442,0, 0.000
84025027,2020-01-22,0,42.35026951,-71.90493363,0, 0.000
84026021,2020-01-22,0,41.95447397,-86.41313079999999,0, 0.000
84026037,2020-01-22,0,42.94400871,-84.60145248,0, 0.000
84026049,2020-01-22,0,43.02244215,-83.70589709,0, 0.000
84026065,2020-01-22,0,42.59716886,-84.37472069,0, 0.000
84026075,2020-01-22,0,42.24807035,-84.42258681,0, 0.000
84026077,2020-01-22,0,42.24542231,-85.53038622,0, 0.000
84026081,2020-01-22,0,43.03197711,-85.54934642,0, 0.000
84026087,2020-01-22,0,43.09052506,-83.22153148,0, 0.000
84026093,2020-01-22,0,42.60302282,-83.91297209,0, 0.000
84026099,2020-01-22,0,42.69158356,-82.92752801,0, 0.000
84026115,2020-01-22,0,41.92734151,-83.53749864,0, 0.000
84026125,2020-01-22,0,42.66090111,-83.38595416,0, 0.000
84026145,2020-01-22,0,43.33433923,-84.05131209999999,0, 0.000
84026147,2020-01-22,0,42.92655373,-82.67937954,0, 0.000
84026161,2020-01-22,0,42.253105,-83.83853204,0, 0.000
84026163,2020-01-22,0,42.28098405,-83.281255,0, 0.000
84027037,2020-01-22,0,44.67172617,-93.06299363,0, 0.000
84027053,2020-01-22,0,45.00761521,-93.47694895,0, 0.000
84027109,2020-01-22,0,44.00374114,-92.40209944,0, 0.000
84027123,2020-01-22,0,45.01625271,-93.09872295,0, 0.000
84027163,2020-01-22,0,45.03864533,-92.88429635,0, 0.000
84028033,2020-01-22,0,34.87625235,-89.99091418,0, 0.000
84028035,2020-01-22,0,31.18961454,-89.25832496,0, 0.000
84028047,2020-01-22,0,30.51359752,-89.12467576,0, 0.000
84028049,2020-01-22,0,32.2656285,-90.44435448,0, 0.000
84028059,2020-01-22,0,30.54020656,-88.64184064,0, 0.000
84028075,2020-01-22,0,32.40419769,-88.66229662,0, 0.000
84028089,2020-01-22,0,32.63389156,-90.03513564,0, 0.000
84028109,2020-01-22,0,30.77090935,-89.58677275,0, 0.000
84028121,2020-01-22,0,32.26469147,-89.94537876,0, 0.000
84029019,2020-01-22,0,38.99186229,-92.30723575,0, 0.000
84029077,2020-01-22,0,37.2575872,-93.34230916,0, 0.000
84029095,2020-01-22,0,39.01002188,-94.34724536,0, 0.000
84029099,2020-01-22,0,38.25926778,-90.53870896,0, 0.000
84029183,2020-01-22,0,38.77875681,-90.66662425,0, 0.000
84029189,2020-01-22,0,38.63770039999999,-90.4458375,0, 0.000
84029510,2020-01-22,0,38.63555736,-90.24349225,0, 0.000
84030031,2020-01-22,0,45.54486106,-111.1692571,0, 0.000
84031055,2020-01-22,0,41.29518299,-96.15085305,0, 0.000
84031079,2020-01-22,0,40.87257079,-98.50218293,0, 0.000
84032003,2020-01-22,0,36.21458855,-115.0130241,0, 0.000
84032031,2020-01-22,0,40.66562265,-119.6631594,0, 0.000
84033011,2020-01-22,0,42.91537785,-71.7200253,0, 0.000
84033015,2020-01-22,0,42.98499744,-71.12883377,0, 0.000
84034001,2020-01-22,0,39.47538693,-74.65848483,0, 0.000
84034003,2020-01-22,0,40.96010917,-74.07164325,0, 0.000
84034005,2020-01-22,0,39.87681124,-74.66927768,0, 0.000
84034007,2020-01-22,0,39.80343818,-74.96388753,0, 0.000
84034009,2020-01-22,0,39.15008829,-74.80170244,0, 0.000
84034011,2020-01-22,0,39.37199394,-75.10712559,0, 0.000
84034013,2020-01-22,0,40.78681335,-74.24657979,0, 0.000
84034015,2020-01-22,0,39.71581067,-75.13995546,0, 0.000
84034017,2020-01-22,0,40.73766234,-74.07515667,0, 0.000
84034019,2020-01-22,0,40.56335249,-74.91284156,0, 0.000
84034021,2020-01-22,0,40.28047017,-74.70479631,0, 0.000
84034023,2020-01-22,0,40.43629879,-74.41426991,0, 0.000
84034025,2020-01-22,0,40.26549699,-74.22240686,0, 0.000
84034027,2020-01-22,0,40.86095313,-74.54553709999999,0, 0.000
84034029,2020-01-22,0,39.8895449,-74.28089251,0, 0.000
84034031,2020-01-22,0,41.03238628,-74.29954144,0, 0.000
84034035,2020-01-22,0,40.56465737,-74.61683016,0, 0.000
84034037,2020-01-22,0,41.13891592,-74.69118243,0, 0.000
84034039,2020-01-22,0,40.65835409,-74.30680092,0, 0.000
84034041,2020-01-22,0,40.85951833,-74.99556527,0, 0.000
84035001,2020-01-22,0,35.05163625,-106.6703554,0, 0.000
84035031,2020-01-22,0,35.580077200000005,-108.262245,0, 0.000
84035043,2020-01-22,0,35.68862401,-106.86878030000001,0, 0.000
84035045,2020-01-22,0,36.50838318,-108.32043700000001,0, 0.000
84035049,2020-01-22,0,35.50708973,-105.9774716,0, 0.000
84036001,2020-01-22,0,42.60060306,-73.97723916,0, 0.000
84036007,2020-01-22,0,42.15903158,-75.81326086,0, 0.000
84036021,2020-01-22,0,42.24819348,-73.63089095,0, 0.000
84036027,2020-01-22,0,41.764860600000006,-73.74356679,0, 0.000
84036029,2020-01-22,0,42.76249024,-78.73063652,0, 0.000
84036053,2020-01-22,0,42.91653905,-75.67266639,0, 0.000
84036055,2020-01-22,0,43.14638895,-77.69322942,0, 0.000
84036059,2020-01-22,0,40.74066522,-73.58941873,0, 0.000
84036061,2020-01-22,0,40.767272600000005,-73.97152637,0, 0.000
84036063,2020-01-22,0,43.19898042,-78.74777412,0, 0.000
84036065,2020-01-22,0,43.24375382,-75.43710392,0, 0.000
84036067,2020-01-22,0,43.00491923,-76.19971155,0, 0.000
84036071,2020-01-22,0,41.40337468,-74.30240757,0, 0.000
84036079,2020-01-22,0,41.42630093,-73.74965532,0, 0.000
84036083,2020-01-22,0,42.71348136,-73.51089874,0, 0.000
84036087,2020-01-22,0,41.15027894,-74.02560498,0, 0.000
84036089,2020-01-22,0,44.4976179,-75.06550039,0, 0.000
84036091,2020-01-22,0,43.10904162,-73.86653895,0, 0.000
84036093,2020-01-22,0,42.81668777,-74.05278291,0, 0.000
84036101,2020-01-22,0,42.2689144,-77.3829924,0, 0.000
84036103,2020-01-22,0,40.88320119,-72.8012172,0, 0.000
84036105,2020-01-22,0,41.71579493,-74.76394559,0, 0.000
84036109,2020-01-22,0,42.44945765,-76.47229843,0, 0.000
84036111,2020-01-22,0,41.89027881,-74.26252104,0, 0.000
84036119,2020-01-22,0,41.16278376,-73.75741653,0, 0.000
84037025,2020-01-22,0,35.3877799,-80.55267168,0, 0.000
84037051,2020-01-22,0,35.04762133,-78.82623165,0, 0.000
84037057,2020-01-22,0,35.79115496,-80.21256572,0, 0.000
84037063,2020-01-22,0,36.03638492,-78.87608331,0, 0.000
84037067,2020-01-22,0,36.12859861,-80.25459052,0, 0.000
84037071,2020-01-22,0,35.29373559,-81.17477045,0, 0.000
84037077,2020-01-22,0,36.30337451,-78.65184241,0, 0.000
84037081,2020-01-22,0,36.07959451,-79.78824948,0, 0.000
84037119,2020-01-22,0,35.24469268,-80.8317671,0, 0.000
84037135,2020-01-22,0,36.06092947,-79.12167935,0, 0.000
84037159,2020-01-22,0,35.64003916,-80.52446628,0, 0.000
84037179,2020-01-22,0,34.98960527,-80.52955873,0, 0.000
84037183,2020-01-22,0,35.78879266,-78.65249174,0, 0.000
84038017,2020-01-22,0,46.93201724,-97.24447190000001,0, 0.000
84039017,2020-01-22,0,39.44012838,-84.57388716,0, 0.000
84039029,2020-01-22,0,40.769323730000004,-80.78094576,0, 0.000
84039035,2020-01-22,0,41.424119,-81.65918339,0, 0.000
84039041,2020-01-22,0,40.27942393,-83.00457058,0, 0.000
84039049,2020-01-22,0,39.96995815,-83.01115755,0, 0.000
84039061,2020-01-22,0,39.19673558,-84.54502924,0, 0.000
84039085,2020-01-22,0,41.69710807,-81.23676539,0, 0.000
84039089,2020-01-22,0,40.09136236,-82.48185785,0, 0.000
84039093,2020-01-22,0,41.29553751,-82.15083537,0, 0.000
84039095,2020-01-22,0,41.62101218,-83.65468618,0, 0.000
84039099,2020-01-22,0,41.01631101,-80.77287029,0, 0.000
84039103,2020-01-22,0,41.11770589,-81.899862099999993,0, 0.000
84039109,2020-01-22,0,40.0543329,-84.22871271,0, 0.000
84039113,2020-01-22,0,39.75394919,-84.29050975,0, 0.000
84039133,2020-01-22,0,41.16793482,-81.19735782,0, 0.000
84039151,2020-01-22,0,40.81482476,-81.36437305,0, 0.000
84039153,2020-01-22,0,41.12464734,-81.53123079,0, 0.000
84039155,2020-01-22,0,41.31735028,-80.76109643,0, 0.000
84040027,2020-01-22,0,35.20413532,-97.32519562,0, 0.000
84040109,2020-01-22,0,35.55140095,-97.40716948,0, 0.000
84040143,2020-01-22,0,36.11939621,-95.94013939,0, 0.000
84040147,2020-01-22,0,36.71380786,-95.90514104,0, 0.000
84041005,2020-01-22,0,45.18787398,-122.2179634,0, 0.000
84041043,2020-01-22,0,44.48899494,-122.53731540000001,0, 0.000
84041047,2020-01-22,0,44.90287942,-122.58151170000001,0, 0.000
84041051,2020-01-22,0,45.54747959,-122.4169351,0, 0.000
84041067,2020-01-22,0,45.55972701,-123.0955257,0, 0.000
84042003,2020-01-22,0,40.46809875,-79.98167747,0, 0.000
84042007,2020-01-22,0,40.6825484,-80.34921611,0, 0.000
84042011,2020-01-22,0,40.41570541,-75.92457766,0, 0.000
84042017,2020-01-22,0,40.33682119,-75.10836643,0, 0.000
84042019,2020-01-22,0,40.91152759,-79.91351055,0, 0.000
84042025,2020-01-22,0,40.91545395,-75.7068525,0, 0.000
84042029,2020-01-22,0,39.97291773,-75.74768357,0, 0.000
84042041,2020-01-22,0,40.1625372,-77.26130755,0, 0.000
84042043,2020-01-22,0,40.41377078,-76.77993242,0, 0.000
84042045,2020-01-22,0,39.91680171,-75.40243663,0, 0.000
84042069,2020-01-22,0,41.43564672,-75.60379201,0, 0.000
84042071,2020-01-22,0,40.03904563,-76.24770128,0, 0.000
84042075,2020-01-22,0,40.36680311,-76.45651841,0, 0.000
84042077,2020-01-22,0,40.6154815,-75.59435245,0, 0.000
84042079,2020-01-22,0,41.17823008,-75.98447579,0, 0.000
84042089,2020-01-22,0,41.05934058,-75.34031025,0, 0.000
84042091,2020-01-22,0,40.21053671,-75.36652296,0, 0.000
84042095,2020-01-22,0,40.75182733,-75.30471829,0, 0.000
