UID,lat,lon,FIPS
84008101,38.17359144,-104.5127437,8101
84008103,39.97913541,-108.2179009,8103
84008105,37.5836865,-106.3847838,8105
84008107,40.48596505,-106.9905548,8107
84008109,38.08054629,-106.282466,8109
84008111,37.76248981,-107.6763289,8111
84008113,38.00450883,-108.4020725,8113
84008115,40.87595412,-102.3519227,8115
84008117,39.63803232,-106.1150762,8117
84008119,38.88133511,-105.1614893,8119
84008121,39.97015535,-103.202587,8121
84008123,40.55499405,-104.3929621,8123
84008125,40.00346839,-102.4258673,8125
84009001,41.26809896,-73.3881171,9001
84009003,41.80283011,-72.73103891,9003
84009005,41.7937534,-73.2451475,9005
84009007,41.45949668,-72.53714864,9007
84009009,41.4080325,-72.93620426,9009
84009011,41.48896435,-72.10430976,9011
84009013,41.85853803,-72.3308481,9013
84009015,41.82972709,-71.98182316,9015
84010001,39.08646628,-75.56884914,10001
84010003,39.57992638,-75.64054974,10003
84010005,38.66143781,-75.39031349,10005
84011001,38.90417773,-77.01655992,11001
84012001,29.67866525,-82.35928158,12001
84012003,30.33060121,-82.28467476,12003
84012005,30.26548745,-85.62122584,12005
84012007,29.95079741,-82.16611613,12007
84012009,28.29409504,-80.73091022,12009
84012011,26.15184651,-80.48725556,12011
84012013,30.40666734,-85.19394153,12013
84012015,26.90131002,-81.92949121,12015
84012017,28.84804315,-82.47614748,12017
84012019,29.98319144,-81.85609986,12019
84012021,26.11091986,-81.34687065,12021
84012023,30.22509788,-82.62160164,12023
84012027,27.18677893,-81.80941373,12027
84012029,29.60631086,-83.15724673,12029
84012031,30.33225875,-81.66976468,12031
84012033,30.67652764,-87.372845710000007,12033
84012035,29.45933576,-81.31508595,12035
84012037,29.83791238,-84.82731662,12037
84012039,30.57796289,-84.61915825,12039
84012041,29.72856978,-82.79880657,12041
84012043,26.95635849,-81.18996211,12043
84012045,29.93543004,-85.2427099,12045
84012047,30.49673973,-82.94998918,12047
84012049,27.49293939,-81.80956574,12049
84012051,26.55386945,-81.16469006,12051
84012053,28.55364461,-82.42700204,12053
84012055,27.34254618,-81.34071957,12055
84012057,27.9276559,-82.32013172,12057
84012059,30.86747479,-85.81319222,12059
84012061,27.69308961,-80.60556721,12061
84012063,30.7954597,-85.21500423,12063
84012065,30.43669112,-83.89442308,12065
84012067,29.98484137,-83.18166636,12067
84012069,28.76202069,-81.7125123,12069
84012071,26.58410348,-81.88399313,12071
84012073,30.45955727,-84.27491114,12073
84012075,29.31829741,-82.74007147,12075
84012077,30.23766008,-84.8829258,12077
84012079,30.44396917,-83.47398594,12079
84012081,27.47196942,-82.31831044,12081
84012083,29.21227113,-82.05803627,12083
84012085,27.0772071,-80.43109784,12085
84012086,25.6112362,-80.55170587,12086
84012087,25.20904673,-81.07812416,12087
84012089,30.61037141,-81.80297522,12089
84012091,30.69143028,-86.59267105,12091
84012093,27.3863362,-80.88944347,12093
84012095,28.51367621,-81.31799498,12095
84012097,28.06312234,-81.14882926,12097
84012099,26.64676272,-80.46536002,12099
84012101,28.30810945,-82.40227529,12101
84012103,27.93130349,-82.72239666,12103
84012105,27.95027105,-81.69732947,12105
84012107,29.60779729,-81.74230285,12107
84012109,29.90096506,-81.43589967,12109
84012111,27.37763908,-80.47106649,12111
84012113,30.6934145,-87.02458128,12113
84012115,27.18546175,-82.33174248,12115
84012117,28.7158582,-81.24060348,12117
84012119,28.70181754,-82.0794267,12119
84012121,30.19746066,-82.9909967,12121
84012123,30.04848048,-83.60445406,12123
84012125,30.04412971,-82.37497443,12125
84012127,29.05858895,-81.18263252,12127
84012129,30.16548905,-84.39895211,12129
84012131,30.64204028,-86.16935664,12131
84012133,30.61359259,-85.66002461,12133
84013001,31.74847232,-82.28909114,13001
84013003,31.29633502,-82.87545866,13003
84013005,31.55456473,-82.45936528,13005
84013007,31.32669878,-84.44218806,13007
84013009,33.06882326,-83.24701748,13009
84013011,34.35607081,-83.49644388,13011
84013013,33.99148694,-83.71436292,13013
84013015,34.23732119,-84.83887523,13015
84013017,31.76095874,-83.22145359,13017
84013019,31.27590016,-83.2252992,13019
84013021,32.80904227,-83.70489165,13021
84013023,32.43829035,-83.33035166,13023
84013025,31.19576557,-81.97743999,13025
84013027,30.83922642,-83.58303423,13027
84013029,32.00979311,-81.44002948,13029
84013031,32.39577406,-81.74811421,13031
84013033,33.05917989,-81.99928721,13033
84013035,33.2830945,-83.9543504,13035
84013037,31.53169785,-84.62725131,13037
84013039,30.92951916,-81.66601818,13039
84013043,32.40209349,-82.07702563,13043
84013045,33.58138199,-85.07976677,13045
84013047,34.89872298,-85.13757014,13047
84013049,30.78371028,-82.13951596,13049
84013051,32.00043026,-81.12489526,13051
84013053,32.34341231,-84.78809239,13053
84013055,34.47197698,-85.34535662,13055
84013057,34.24393976,-84.47431861,13057
84013059,33.95436462,-83.37124007,13059
84013061,31.62221166,-84.97713865,13061
84013063,33.54187245,-84.35594188,13063
84013065,30.91395822,-82.70432472,13065
84013067,33.94243204,-84.5761255,13067
84013069,31.54892966,-82.8549206,13069
84013071,31.18810588,-83.7677946,13071
84013073,33.54534185,-82.263524,13073
84013075,31.16068491,-83.42947229,13075
84013077,33.35334302,-84.76129976,13077
84013079,32.71391813,-83.98061238,13079
84013081,31.92289565,-83.76811843,13081
84013083,34.8549167,-85.50490424,13083
84013085,34.44244079,-84.16964071,13085
84013087,30.87967778,-84.57619536,13087
84013089,33.76944049,-84.22396017,13089
84013091,32.17265114,-83.16948926,13091
84013093,32.15630737,-83.79746561,13093
84013095,31.53328528,-84.21722377,13095
84013097,33.70291126,-84.77026156,13097
84013099,31.32155345,-84.90255207,13099
84013101,30.71101099,-82.89687287,13101
84013103,32.36616021,-81.34280942,13103
84013105,34.11302332,-82.83936148,13105
84013107,32.59221302,-82.30239915,13107
84013109,32.15328841,-81.8870105,13109
84013111,34.86430205,-84.316964,13111
84013113,33.41357794,-84.49089434,13113
84013115,34.26268279,-85.21577392,13115
84013117,34.22604035,-84.1231513,13117
84013119,34.37525597,-83.23159927,13119
84013121,33.79216944,-84.46319413,13121
84013123,34.69316688,-84.45802506,13123
84013125,33.22879932,-82.61297636,13125
84013127,31.23279254,-81.53811412,13127
84013129,34.50487351,-84.87296253,13129
84013131,30.87454847,-84.23418364,13131
84013133,33.5769205,-83.17139104,13133
84013135,33.96044201,-84.02137802,13135
84013137,34.63331566,-83.53094677,13137
84013139,34.32207823,-83.81896936,13139
84013141,33.2721566,-82.99766919,13141
84013143,33.79602175,-85.21005667,13143
84013145,32.73709786,-84.90538572,13145
84013147,34.34626973,-82.96567682,13147
84013149,33.29686567,-85.12886832,13149
84013151,33.4533428,-84.1481466,13151
84013153,32.45802497,-83.66879087,13153
84013155,31.60213036,-83.27501387,13155
84013157,34.13794553,-83.56814788,13157
84013159,33.31535543,-83.68844964,13159
84013161,31.80405727,-82.6372487,13161
84013163,33.05867328,-82.41609057,13163
84013165,32.79248718,-81.96040187,13165
84013167,32.70211082,-82.66166794,13167
84013169,33.02512137,-83.56019163,13169
84013171,33.07841647,-84.14263877,13171
84013173,31.0382857,-83.06472457,13173
84013175,32.46325233,-82.92221316,13175
84013177,31.7793306,-84.14324253,13177
84013179,31.82588896,-81.49251135,13179
84013181,33.79201475,-82.45024131,13181
84013183,31.75218791,-81.74952375,13183
84013185,30.83568832,-83.27056716,13185
84013187,34.57286511,-84.00425681,13187
84013189,33.47851918,-82.48252774,13189
84013191,31.49683595,-81.40163426,13191
84013193,32.35207048,-84.04234127,13193
84013195,34.12920917,-83.21218732,13195
84013197,32.3483402,-84.52733571,13197
84013199,33.04163534,-84.68859732,13199
84013201,31.16568912,-84.73151117,13201
84013205,31.22483255,-84.19381821,13205
84013207,33.014289,-83.92097166,13207
84013209,32.17201038,-82.53527476,13209
84013211,33.59232073,-83.49129491,13211
84013213,34.78897608,-84.74993177,13213
84013215,32.50931999,-84.87142262,13215
84013217,33.55514538,-83.8454714,13217
84013219,33.83749973,-83.43679568,13219
84013221,33.8786296,-83.08278123,13221
84013223,33.91969522,-84.86848792,13223
84013225,32.56934316,-83.82937,13225
84013227,34.46589159,-84.46406611,13227
84013229,31.35928155,-82.21598442,13229
84013231,33.09310242,-84.38790389,13231
84013233,34.00267074,-85.18677781,13233
84013235,32.23334561,-83.4754996,13235
84013237,33.32056115,-83.37552891,13237
84013239,31.86728114,-85.01773177,13239
84013241,34.88389445,-83.40304637,13241
84013243,31.76622818,-84.75732369,13243
84013245,33.35777107,-82.07026432,13245
84013247,33.65145002,-84.02202167,13247
84013249,32.2654021,-84.31258912,13249
84013251,32.74976524,-81.60779441,13251
84013253,30.93464824,-84.86823924,13253
84013255,33.26310031,-84.28013991,13255
84013257,34.55151201,-83.29405315,13257
84013259,32.07996777,-84.83208037,13259
84013261,32.03650571,-84.19821492,13261
84013263,32.69642758,-84.53351366,13263
84013265,33.56543317,-82.88136816,13265
84013267,32.04785085,-82.05539188,13267
84013269,32.55792548,-84.25077141,13269
84013271,31.92829517,-82.93491155,13271
84013273,31.77527543,-84.44069698,13273
84013275,30.86392347,-83.91847289,13275
84013277,31.45743864,-83.5236119,13277
84013279,32.12059861,-82.32957247,13279
84013281,34.91369188,-83.7410746,13281
84013283,32.40422134,-82.56904553,13283
84013285,33.03349196,-85.02812115,13285
84013287,31.71612656,-83.62069378,13287
84013289,32.67435595,-83.43078662,13289
84013291,34.82995757,-83.98967069,13291
84013293,32.87920671,-84.30024826,13293
84013295,34.73376362,-85.30165174,13295
