"","UID","lat","lon","FIPS"
"505",84012057,27.9276559,-82.32013172,12057
"506",84012059,30.86747479,-85.81319222,12059
"507",84012061,27.69308961,-80.60556721,12061
"508",84012063,30.7954597,-85.21500423,12063
"509",84012065,30.43669112,-83.89442308,12065
"510",84012067,29.98484137,-83.18166636,12067
"511",84012069,28.76202069,-81.7125123,12069
"512",84012071,26.58410348,-81.88399313,12071
"513",84012073,30.45955727,-84.27491114,12073
"514",84012075,29.31829741,-82.74007147,12075
"515",84012077,30.23766008,-84.8829258,12077
"516",84012079,30.44396917,-83.47398594,12079
"517",84012081,27.47196942,-82.31831044,12081
"518",84012083,29.21227113,-82.05803627,12083
"519",84012085,27.0772071,-80.43109784,12085
"520",84012086,25.6112362,-80.55170587,12086
"521",84012087,25.20904673,-81.07812416,12087
"522",84012089,30.61037141,-81.80297522,12089
"523",84012091,30.69143028,-86.59267105,12091
"524",84012093,27.3863362,-80.88944347,12093
"525",84012095,28.51367621,-81.31799498,12095
"526",84012097,28.06312234,-81.14882926,12097
"527",84012099,26.64676272,-80.46536002,12099
"528",84012101,28.30810945,-82.40227529,12101
"529",84012103,27.93130349,-82.72239666,12103
"530",84012105,27.95027105,-81.69732947,12105
"531",84012107,29.60779729,-81.74230285,12107
"532",84012109,29.90096506,-81.43589967,12109
"533",84012111,27.37763908,-80.47106649,12111
"534",84012113,30.6934145,-87.02458128,12113
"535",84012115,27.18546175,-82.33174248,12115
"536",84012117,28.7158582,-81.24060348,12117
"537",84012119,28.70181754,-82.0794267,12119
"538",84012121,30.19746066,-82.9909967,12121
"539",84012123,30.04848048,-83.60445406,12123
"540",84012125,30.04412971,-82.37497443,12125
"541",84012127,29.05858895,-81.18263252,12127
"542",84012129,30.16548905,-84.39895211,12129
"543",84012131,30.64204028,-86.16935664,12131
"544",84012133,30.61359259,-85.66002461,12133
"545",84013001,31.74847232,-82.28909114,13001
"546",84013003,31.29633502,-82.87545866,13003
"547",84013005,31.55456473,-82.45936528,13005
"548",84013007,31.32669878,-84.44218806,13007
"549",84013009,33.06882326,-83.24701748,13009
"550",84013011,34.35607081,-83.49644388,13011
"551",84013013,33.99148694,-83.71436292,13013
"552",84013015,34.23732119,-84.83887523,13015
"553",84013017,31.76095874,-83.22145359,13017
"554",84013019,31.27590016,-83.2252992,13019
"555",84013021,32.80904227,-83.70489165,13021
"556",84013023,32.43829035,-83.33035166,13023
"557",84013025,31.19576557,-81.97743999,13025
"558",84013027,30.83922642,-83.58303423,13027
"559",84013029,32.00979311,-81.44002948,13029
"560",84013031,32.39577406,-81.74811421,13031
"561",84013033,33.05917989,-81.99928721,13033
"562",84013035,33.2830945,-83.9543504,13035
"563",84013037,31.53169785,-84.62725131,13037
"564",84013039,30.92951916,-81.66601818,13039
"565",84013043,32.40209349,-82.07702563,13043
"566",84013045,33.58138199,-85.07976677,13045
"567",84013047,34.89872298,-85.13757014,13047
"568",84013049,30.78371028,-82.13951596,13049
"569",84013051,32.00043026,-81.12489526,13051
"570",84013053,32.34341231,-84.78809239,13053
"571",84013055,34.47197698,-85.34535662,13055
"572",84013057,34.24393976,-84.47431861,13057
"573",84013059,33.95436462,-83.37124007,13059
"574",84013061,31.62221166,-84.97713865,13061
"575",84013063,33.54187245,-84.35594188,13063
"576",84013065,30.91395822,-82.70432472,13065
"577",84013067,33.94243204,-84.5761255,13067
"578",84013069,31.54892966,-82.8549206,13069
"579",84013071,31.18810588,-83.7677946,13071
"580",84013073,33.54534185,-82.263524,13073
"581",84013075,31.16068491,-83.42947229,13075
"582",84013077,33.35334302,-84.76129976,13077
"583",84013079,32.71391813,-83.98061238,13079
"584",84013081,31.92289565,-83.76811843,13081
"585",84013083,34.8549167,-85.50490424,13083
"586",84013085,34.44244079,-84.16964071,13085
"587",84013087,30.87967778,-84.57619536,13087
"588",84013089,33.76944049,-84.22396017,13089
"589",84013091,32.17265114,-83.16948926,13091
"590",84013093,32.15630737,-83.79746561,13093
"591",84013095,31.53328528,-84.21722377,13095
"592",84013097,33.70291126,-84.77026156,13097
"593",84013099,31.32155345,-84.90255207,13099
"594",84013101,30.71101099,-82.89687287,13101
"595",84013103,32.36616021,-81.34280942,13103
"596",84013105,34.11302332,-82.83936148,13105
"597",84013107,32.59221302,-82.30239915,13107
"598",84013109,32.15328841,-81.8870105,13109
"599",84013111,34.86430205,-84.316964,13111
"600",84013113,33.41357794,-84.49089434,13113
"601",84013115,34.26268279,-85.21577392,13115
"602",84013117,34.22604035,-84.1231513,13117
"603",84013119,34.37525597,-83.23159927,13119
"604",84013121,33.79216944,-84.46319413,13121
"605",84013123,34.69316688,-84.45802506,13123
"606",84013125,33.22879932,-82.61297636,13125
"607",84013127,31.23279254,-81.53811412,13127
"608",84013129,34.50487351,-84.87296253,13129
"609",84013131,30.87454847,-84.23418364,13131
"610",84013133,33.5769205,-83.17139104,13133
"611",84013135,33.96044201,-84.02137802,13135
"612",84013137,34.63331566,-83.53094677,13137
"613",84013139,34.32207823,-83.81896936,13139
"614",84013141,33.2721566,-82.99766919,13141
"615",84013143,33.79602175,-85.21005667,13143
"616",84013145,32.73709786,-84.90538572,13145
"617",84013147,34.34626973,-82.96567682,13147
"618",84013149,33.29686567,-85.12886832,13149
"619",84013151,33.4533428,-84.1481466,13151
"620",84013153,32.45802497,-83.66879087,13153
"621",84013155,31.60213036,-83.27501387,13155
"622",84013157,34.13794553,-83.56814788,13157
"623",84013159,33.31535543,-83.68844964,13159
"624",84013161,31.80405727,-82.6372487,13161
"625",84013163,33.05867328,-82.41609057,13163
"626",84013165,32.79248718,-81.96040187,13165
"627",84013167,32.70211082,-82.66166794,13167
"628",84013169,33.02512137,-83.56019163,13169
"629",84013171,33.07841647,-84.14263877,13171
"630",84013173,31.0382857,-83.06472457,13173
"631",84013175,32.46325233,-82.92221316,13175
"632",84013177,31.7793306,-84.14324253,13177
"633",84013179,31.82588896,-81.49251135,13179
"634",84013181,33.79201475,-82.45024131,13181
"635",84013183,31.75218791,-81.74952375,13183
"636",84013185,30.83568832,-83.27056716,13185
"637",84013187,34.57286511,-84.00425681,13187
"638",84013189,33.47851918,-82.48252774,13189
"639",84013191,31.49683595,-81.40163426,13191
"640",84013193,32.35207048,-84.04234127,13193
"641",84013195,34.12920917,-83.21218732,13195
"642",84013197,32.3483402,-84.52733571,13197
"643",84013199,33.04163534,-84.68859732,13199
"644",84013201,31.16568912,-84.73151117,13201
"645",84013205,31.22483255,-84.19381821,13205
